step,loss,moving_average_200
328,0.0625,0.0544475
329,0.0368,0.054298
330,0.0403,0.0542905
331,0.0433,0.054286
332,0.0346,0.0541645
333,0.0477,0.054007
334,0.0515,0.0540515
335,0.0268,0.0537575
336,0.0543,0.0538095
337,0.0409,0.0536325
338,0.0714,0.0537175
339,0.0398,0.053501
340,0.0414,0.053498
341,0.0441,0.053367
342,0.015,0.0532535
343,0.0593,0.0533845
344,0.0297,0.0530835
345,0.0452,0.0529855
346,0.0288,0.052822
347,0.0479,0.0526075
348,0.0669,0.052556
349,0.0973,0.05283
350,0.0502,0.052575
351,0.0436,0.052714
352,0.0746,0.0528715
353,0.0339,0.052873
354,0.0641,0.0530285
355,0.0245,0.05291
356,0.0699,0.052977
357,0.019,0.052911
358,0.0351,0.0527575
359,0.0235,0.052494
360,0.0807,0.052571
361,0.0941,0.0527855
362,0.0832,0.0528615
363,0.1054,0.0531845
364,0.0429,0.053139
365,0.0655,0.0530365
366,0.0501,0.053065
367,0.0751,0.052998
368,0.0592,0.052754
369,0.0739,0.052821
370,0.0289,0.0527895
371,0.0355,0.052705
372,0.0704,0.0526685
373,0.0551,0.052624
374,0.041,0.052695
375,0.0502,0.052692
376,0.0559,0.0527945
377,0.0666,0.0529225
378,0.0312,0.0526105
379,0.0183,0.052421
380,0.0316,0.0523025
381,0.0648,0.0523305
382,0.1065,0.0526325
383,0.0482,0.0526815
384,0.0467,0.052702
385,0.0708,0.0527975
386,0.0328,0.0527035
387,0.0599,0.052535
388,0.043,0.05245
389,0.0719,0.052418
390,0.0632,0.052381
391,0.0437,0.052307
392,0.0498,0.0522175
393,0.0474,0.0521405
394,0.0486,0.052092
395,0.044,0.052096
396,0.0682,0.0521345
397,0.0328,0.05204
398,0.0753,0.0521845
399,0.0543,0.05213
400,0.0396,0.0520285
401,0.0247,0.0517475
402,0.0493,0.0516575
403,0.0562,0.05186
404,0.0524,0.0519995
405,0.0508,0.0518435
406,0.0398,0.0516345
407,0.0436,0.051591
408,0.0229,0.0514225
409,0.0281,0.051136
410,0.0576,0.0512495
411,0.0461,0.0512345
412,0.0696,0.0513035
413,0.0291,0.051304
414,0.0239,0.0510955
415,0.0511,0.0512335
416,0.095,0.0514085
417,0.0722,0.0515735
418,0.0491,0.0515995
419,0.0301,0.051373
420,0.0349,0.051407
421,0.0342,0.0512535
422,0.0514,0.0511955
423,0.0387,0.05127
424,0.0305,0.0511225
425,0.0617,0.051176
426,0.0442,0.051169
427,0.0518,0.0511855
428,0.05,0.051236
429,0.0869,0.0514325
