experiment,steps,initial_loss,final_loss,minimum_loss,maximum_loss,overall_mean_loss,overall_loss_std,last20_mean_loss,last20_loss_std,max_grad_norm,spike_count
n10,100,0.0782,0.1132,0.0035,0.1719,0.068609,0.04009379776224747,0.056674999999999996,0.043879697754200635,6.4909,5
n50_clean_norm,100,0.0683,0.0779,0.0099,0.2347,0.077,0.04722495314979148,0.079785,0.05189112905882854,9.6704,7
n100,100,0.0703,0.074,0.009,0.32,0.069731,0.046343305223084816,0.07578,0.06065597744657982,12.1155,2
n50_no_norm,100,0.0586,0.0557,0.0043,0.2162,0.049751000000000004,0.03975605738752273,0.049780000000000005,0.03602207101208925,13.0941,7
n50_dirty_norm,100,0.0683,0.0963,0.0115,0.453,0.09350599999999998,0.07951354956232302,0.10717499999999999,0.0946936580505791,4.1022,5
